model_name,sample_count,positive_count,positive_rate,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision
random_forest_classifier,777.0,9.0,0.011583011583011582,0.9884169884169884,0.5,0.0,0.0,0.0,0.7641059027777778,0.07122706866539884
dummy_classifier,777.0,9.0,0.011583011583011582,0.9884169884169884,0.5,0.0,0.0,0.0,0.5,0.011583011583011582
logistic_regression,777.0,9.0,0.011583011583011582,0.5148005148005148,0.42513020833333337,0.008021390374331552,0.3333333333333333,0.015665796344647518,0.4512442129629629,0.010821240235079622
