pipeline_name,model_name,fold,sample_count,positive_count,positive_rate,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision
donor_retention,dummy_classifier,1,10.0,3.0,0.3,0.7,0.5,0.0,0.0,0.0,0.5,0.3
donor_retention,dummy_classifier,2,10.0,3.0,0.3,0.7,0.5,0.0,0.0,0.0,0.5,0.3
donor_retention,dummy_classifier,3,9.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,0.3333333333333333
donor_retention,dummy_classifier,4,9.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,0.3333333333333333
donor_retention,dummy_classifier,5,9.0,3.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,0.3333333333333333
donor_retention,logistic_regression,1,10.0,3.0,0.3,0.6,0.6190476190476191,0.4,0.6666666666666666,0.5,0.47619047619047616,0.4
donor_retention,logistic_regression,2,10.0,3.0,0.3,0.7,0.6904761904761905,0.5,0.6666666666666666,0.5714285714285714,0.8571428571428571,0.8333333333333333
donor_retention,logistic_regression,3,9.0,3.0,0.3333333333333333,0.7777777777777778,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9444444444444444,0.9166666666666665
donor_retention,logistic_regression,4,9.0,3.0,0.3333333333333333,0.7777777777777778,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7777777777777777
donor_retention,logistic_regression,5,9.0,3.0,0.3333333333333333,0.8888888888888888,0.8333333333333333,1.0,0.6666666666666666,0.8,1.0,1.0
donor_retention,random_forest_classifier,1,10.0,3.0,0.3,0.8,0.8571428571428572,0.6,1.0,0.75,1.0,1.0
donor_retention,random_forest_classifier,2,10.0,3.0,0.3,0.7,0.5952380952380952,0.5,0.3333333333333333,0.4,0.6190476190476191,0.5916666666666666
donor_retention,random_forest_classifier,3,9.0,3.0,0.3333333333333333,0.7777777777777778,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9444444444444444,0.9166666666666665
donor_retention,random_forest_classifier,4,9.0,3.0,0.3333333333333333,0.8888888888888888,0.8333333333333333,1.0,0.6666666666666666,0.8,0.7222222222222222,0.7916666666666666
donor_retention,random_forest_classifier,5,9.0,3.0,0.3333333333333333,0.7777777777777778,0.6666666666666666,1.0,0.3333333333333333,0.5,0.9444444444444445,0.9166666666666666
reintegration_readiness,dummy_classifier,1,152.0,6.0,0.039473684210526314,0.9605263157894737,0.5,0.0,0.0,0.0,0.5,0.039473684210526314
reintegration_readiness,dummy_classifier,2,151.0,5.0,0.033112582781456956,0.9668874172185431,0.5,0.0,0.0,0.0,0.5,0.033112582781456956
reintegration_readiness,dummy_classifier,3,151.0,5.0,0.033112582781456956,0.9668874172185431,0.5,0.0,0.0,0.0,0.5,0.033112582781456956
reintegration_readiness,dummy_classifier,4,151.0,5.0,0.033112582781456956,0.9668874172185431,0.5,0.0,0.0,0.0,0.5,0.033112582781456956
reintegration_readiness,dummy_classifier,5,151.0,6.0,0.039735099337748346,0.9602649006622517,0.5,0.0,0.0,0.0,0.5,0.039735099337748346
reintegration_readiness,logistic_regression,1,152.0,6.0,0.039473684210526314,0.9605263157894737,0.9794520547945205,0.5,1.0,0.6666666666666666,0.9942922374429224,0.9242424242424243
reintegration_readiness,logistic_regression,2,151.0,5.0,0.033112582781456956,0.9735099337748344,0.7931506849315069,0.6,0.6,0.6,0.9931506849315068,0.8261904761904761
reintegration_readiness,logistic_regression,3,151.0,5.0,0.033112582781456956,0.9271523178807947,0.8657534246575342,0.2857142857142857,0.8,0.42105263157894735,0.9767123287671232,0.5988888888888889
reintegration_readiness,logistic_regression,4,151.0,5.0,0.033112582781456956,0.9470198675496688,0.876027397260274,0.36363636363636365,0.8,0.5,0.9821917808219177,0.71
reintegration_readiness,logistic_regression,5,151.0,6.0,0.039735099337748346,0.9470198675496688,0.9724137931034482,0.42857142857142855,1.0,0.6,0.9862068965517242,0.7853535353535354
reintegration_readiness,random_forest_classifier,1,152.0,6.0,0.039473684210526314,0.9605263157894737,0.5,0.0,0.0,0.0,0.9914383561643836,0.8432900432900433
reintegration_readiness,random_forest_classifier,2,151.0,5.0,0.033112582781456956,0.9602649006622517,0.4965753424657534,0.0,0.0,0.0,0.9821917808219178,0.57
reintegration_readiness,random_forest_classifier,3,151.0,5.0,0.033112582781456956,0.9668874172185431,0.5,0.0,0.0,0.0,0.9863013698630136,0.6644444444444444
reintegration_readiness,random_forest_classifier,4,151.0,5.0,0.033112582781456956,0.9668874172185431,0.5,0.0,0.0,0.0,0.9842465753424657,0.6202564102564102
reintegration_readiness,random_forest_classifier,5,151.0,6.0,0.039735099337748346,0.9668874172185431,0.5833333333333334,1.0,0.16666666666666666,0.2857142857142857,0.985632183908046,0.7410714285714285
resident_risk,dummy_classifier,1,152.0,12.0,0.07894736842105263,0.9210526315789473,0.5,0.0,0.0,0.0,0.5,0.07894736842105263
resident_risk,dummy_classifier,2,151.0,11.0,0.0728476821192053,0.9271523178807947,0.5,0.0,0.0,0.0,0.5,0.0728476821192053
resident_risk,dummy_classifier,3,151.0,11.0,0.0728476821192053,0.9271523178807947,0.5,0.0,0.0,0.0,0.5,0.0728476821192053
resident_risk,dummy_classifier,4,151.0,11.0,0.0728476821192053,0.9271523178807947,0.5,0.0,0.0,0.0,0.5,0.0728476821192053
resident_risk,dummy_classifier,5,151.0,12.0,0.07947019867549669,0.9205298013245033,0.5,0.0,0.0,0.0,0.5,0.07947019867549669
