pipeline_name,model_name,bin,count,min_score,max_score,mean_score,observed_rate,abs_calibration_error
best_posting_time,logistic_regression,0,17,0.07821742416072346,0.2643070270105024,0.1826111567061048,0.29411764705882354,0.11150649035271873
best_posting_time,logistic_regression,1,16,0.26607377200515586,0.3163264299731692,0.28962472736653044,0.3125,0.022875272633469557
best_posting_time,logistic_regression,2,16,0.31681386065631356,0.3885964884647279,0.3523971397354346,0.625,0.2726028602645654
best_posting_time,logistic_regression,3,16,0.3982719995912698,0.4752788592544016,0.43271216778586563,0.5625,0.12978783221413437
best_posting_time,logistic_regression,4,17,0.48634250388831035,0.5514627856307376,0.5183655394422038,0.6470588235294118,0.12869328408720804
best_posting_time,logistic_regression,5,16,0.5550384365503844,0.618281449995112,0.5846738460772534,0.8125,0.22782615392274663
best_posting_time,logistic_regression,6,16,0.619180964224812,0.6883728810187727,0.6584164900968584,0.5625,0.09591649009685843
best_posting_time,logistic_regression,7,16,0.6898909785126569,0.7532884294819266,0.7226485789341267,0.875,0.1523514210658733
best_posting_time,logistic_regression,8,16,0.7601890954979038,0.8275964219707531,0.7968251476663956,0.75,0.04682514766639556
best_posting_time,logistic_regression,9,17,0.8430962635579559,0.9999999982964924,0.9251401825289064,0.9411764705882353,0.016036288059328885
capacity_pressure,random_forest_classifier,0,94,0.0,0.005,0.0010638297872340426,0.0,0.0010638297872340426
capacity_pressure,random_forest_classifier,1,10,0.015,0.025,0.0215,0.0,0.0215
capacity_pressure,random_forest_classifier,2,13,0.995,1.0,0.9996153846153847,1.0,0.00038461538461531664
case_prioritization,random_forest_classifier,0,79,0.18,0.45,0.37056962025316453,0.24050632911392406,0.13006329113924048
case_prioritization,random_forest_classifier,1,74,0.455,0.49,0.47243243243243244,0.1891891891891892,0.28324324324324324
case_prioritization,random_forest_classifier,2,62,0.495,0.525,0.5106451612903226,0.20967741935483872,0.3009677419354838
case_prioritization,random_forest_classifier,3,79,0.53,0.55,0.5401898734177216,0.31645569620253167,0.22373417721518996
case_prioritization,random_forest_classifier,4,73,0.555,0.575,0.5647260273972603,0.2602739726027397,0.3044520547945206
case_prioritization,random_forest_classifier,5,65,0.58,0.59,0.5846923076923076,0.16923076923076924,0.4154615384615384
case_prioritization,random_forest_classifier,6,70,0.595,0.615,0.605642857142857,0.3142857142857143,0.29135714285714276
case_prioritization,random_forest_classifier,7,79,0.62,0.645,0.6341139240506329,0.4050632911392405,0.22905063291139244
case_prioritization,random_forest_classifier,8,67,0.65,0.685,0.6664925373134328,0.29850746268656714,0.3679850746268657
case_prioritization,random_forest_classifier,9,67,0.69,0.9,0.7408955223880597,0.5671641791044776,0.17373134328358208
counseling_progress,random_forest_classifier,0,50,0.135,0.33,0.2686,0.46,0.19140000000000001
counseling_progress,random_forest_classifier,1,48,0.335,0.39,0.3709375,0.5,0.12906250000000002
counseling_progress,random_forest_classifier,2,49,0.395,0.43,0.4129591836734694,0.4489795918367347,0.036020408163265294
counseling_progress,random_forest_classifier,3,47,0.435,0.46,0.4461702127659574,0.3829787234042553,0.0631914893617021
counseling_progress,random_forest_classifier,4,56,0.465,0.49,0.48008928571428566,0.4107142857142857,0.06937499999999996
counseling_progress,random_forest_classifier,5,45,0.495,0.52,0.5074444444444445,0.4666666666666667,0.0407777777777778
counseling_progress,random_forest_classifier,6,46,0.525,0.555,0.5411956521739131,0.3695652173913043,0.17163043478260875
counseling_progress,random_forest_classifier,7,48,0.56,0.59,0.5765625,0.4166666666666667,0.1598958333333333
counseling_progress,random_forest_classifier,8,48,0.595,0.635,0.6133333333333333,0.6041666666666666,0.009166666666666656
counseling_progress,random_forest_classifier,9,48,0.64,0.87,0.6954166666666667,0.5,0.19541666666666668
donor_retention,logistic_regression,0,2,0.003667825990030021,0.02933173579131471,0.016499780890672364,0.0,0.016499780890672364
donor_retention,logistic_regression,1,1,0.054715246710931476,0.054715246710931476,0.054715246710931476,0.0,0.054715246710931476
donor_retention,logistic_regression,2,1,0.07323635945631787,0.07323635945631787,0.07323635945631787,1.0,0.9267636405436821
donor_retention,logistic_regression,3,1,0.08095258876913927,0.08095258876913927,0.08095258876913927,0.0,0.08095258876913927
donor_retention,logistic_regression,4,1,0.14162973500784568,0.14162973500784568,0.14162973500784568,1.0,0.8583702649921543
donor_retention,logistic_regression,5,1,0.41431544768063566,0.41431544768063566,0.41431544768063566,0.0,0.41431544768063566
donor_retention,logistic_regression,6,1,0.5537246949575503,0.5537246949575503,0.5537246949575503,1.0,0.4462753050424497
donor_retention,logistic_regression,7,1,0.678345558931915,0.678345558931915,0.678345558931915,0.0,0.678345558931915
donor_retention,logistic_regression,8,1,0.8121591918693528,0.8121591918693528,0.8121591918693528,1.0,0.18784080813064719
donor_retention,logistic_regression,9,2,0.9245412744965568,0.9716858015978942,0.9481135380472254,1.0,0.051886461952774576
donor_upgrade,random_forest_classifier,0,61,0.0,0.035,0.008688524590163935,0.04918032786885246,0.040491803278688523
donor_upgrade,random_forest_classifier,1,29,0.04,0.055,0.04724137931034483,0.06896551724137931,0.021724137931034476
donor_upgrade,random_forest_classifier,2,29,0.06,0.09,0.07137931034482758,0.13793103448275862,0.06655172413793103
donor_upgrade,random_forest_classifier,3,29,0.095,0.13,0.1160344827586207,0.1724137931034483,0.056379310344827585
donor_upgrade,random_forest_classifier,4,29,0.135,0.165,0.1482758620689655,0.13793103448275862,0.01034482758620689
donor_upgrade,random_forest_classifier,5,31,0.17,0.22,0.1993548387096774,0.0967741935483871,0.10258064516129031
donor_upgrade,random_forest_classifier,6,29,0.225,0.29,0.2510344827586207,0.20689655172413793,0.0441379310344828
donor_upgrade,random_forest_classifier,7,29,0.295,0.535,0.3968965517241379,0.5517241379310345,0.15482758620689657
donor_upgrade,random_forest_classifier,8,29,0.545,0.925,0.6872413793103448,0.8620689655172413,0.17482758620689653
education_improvement,logistic_regression,0,66,1.3089179206604515e-09,2.0481904319460394e-07,7.476960595832226e-08,0.0,7.476960595832226e-08
education_improvement,logistic_regression,1,65,2.187989188962599e-07,9.16127201970066e-07,5.085741006207202e-07,0.0,5.085741006207202e-07
education_improvement,logistic_regression,2,65,9.37532925133217e-07,2.8733952532306593e-06,1.7476430104355619e-06,0.0,1.7476430104355619e-06
education_improvement,logistic_regression,3,65,2.8916060224936034e-06,7.100257999429367e-06,4.599277976688583e-06,0.0,4.599277976688583e-06
education_improvement,logistic_regression,4,66,7.141243396303372e-06,1.8127039310827066e-05,1.1583565954866094e-05,0.0,1.1583565954866094e-05
education_improvement,logistic_regression,5,65,1.844619602445157e-05,5.906147723502501e-05,3.512468752881704e-05,0.0,3.512468752881704e-05
education_improvement,logistic_regression,6,65,6.197309012921613e-05,0.00020065368886476356,0.00011849604761833032,0.0,0.00011849604761833032
education_improvement,logistic_regression,7,65,0.00020547822459916139,0.0026405536198288843,0.0005964811475855249,0.0,0.0005964811475855249
education_improvement,logistic_regression,8,65,0.003175126710929606,0.29710961541884756,0.09639742515466994,0.09230769230769231,0.004089732846977626
education_improvement,logistic_regression,9,66,0.3051125744917099,0.9947920529683921,0.6916281107039715,0.6212121212121212,0.07041598949185024
home_visitation_outcome,dummy_classifier,0,427,0.22712418300653595,0.22712418300653595,0.22712418300653595,0.21779859484777517,0.009325588158760778
reintegration_readiness,random_forest_classifier,0,316,0.0,0.005,0.0028322784810126582,0.0,0.0028322784810126582
reintegration_readiness,random_forest_classifier,1,138,0.01,0.01,0.01,0.0,0.01
reintegration_readiness,random_forest_classifier,2,62,0.015,0.015,0.015,0.016129032258064516,0.0011290322580645162
reintegration_readiness,random_forest_classifier,3,43,0.02,0.02,0.02,0.046511627906976744,0.026511627906976743
reintegration_readiness,random_forest_classifier,4,64,0.025,0.03,0.02734375,0.0,0.02734375
reintegration_readiness,random_forest_classifier,5,85,0.035,0.045,0.04,0.023529411764705882,0.01647058823529412
reintegration_readiness,random_forest_classifier,6,69,0.05,0.15,0.07427536231884058,0.057971014492753624,0.016304347826086953
resident_risk,logistic_regression,0,78,4.344779303270993e-06,3.811907159615531e-05,2.0634594794405846e-05,0.0,2.0634594794405846e-05
resident_risk,logistic_regression,1,78,3.909521798246156e-05,7.165145597810697e-05,5.5138908981304424e-05,0.0,5.5138908981304424e-05
