pipeline_name,best_model_name,train_rows,test_rows,sample_count,positive_count,positive_rate,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision
donor_retention,logistic_regression,47,12,12.0,6.0,0.5,0.8333333333333334,0.8333333333333333,1.0,0.6666666666666666,0.8,0.8055555555555556,0.8888888888888888
reintegration_readiness,random_forest_classifier,756,777,777.0,9.0,0.011583011583011582,0.9884169884169884,0.5,0.0,0.0,0.0,0.7996961805555556,0.030480568525577022
resident_risk,logistic_regression,756,777,777.0,36.0,0.04633204633204633,0.8828828828828829,0.5686009896536213,0.11267605633802817,0.2222222222222222,0.14953271028037382,0.7929599640125955,0.13736782140614545
social_media_conversion,random_forest_classifier,649,163,163.0,104.0,0.6380368098159509,0.9386503067484663,0.9335886571056062,0.9519230769230769,0.9519230769230769,0.9519230769230769,0.9760430247718385,0.984028903416911
