pipeline_name,model_name,fold_mean,fold_std,sample_count_mean,sample_count_std,positive_count_mean,positive_count_std,positive_rate_mean,positive_rate_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,n_splits
donor_retention,random_forest_classifier,3.0,1.5811388300841898,9.4,0.547722557505166,3.0,0.0,0.31999999999999995,0.018257418583505526,0.788888888888889,0.06758625033664685,0.7404761904761905,0.11052851798509677,0.7533333333333333,0.2328566559543064,0.6,0.27888667551135854,0.6233333333333333,0.16898389140848766,0.846031746031746,0.1657761546004563,0.8433333333333334,0.1591426683478975,5
donor_retention,logistic_regression,3.0,1.5811388300841898,9.4,0.547722557505166,3.0,0.0,0.31999999999999995,0.018257418583505526,0.7488888888888889,0.10703639625593156,0.7285714285714285,0.0795929269068894,0.6466666666666667,0.22803508501982755,0.6666666666666666,0.0,0.6409523809523809,0.11326928962781183,0.7888888888888889,0.21572123515675518,0.7855555555555556,0.2313940575653212,5
donor_retention,dummy_classifier,3.0,1.5811388300841898,9.4,0.547722557505166,3.0,0.0,0.31999999999999995,0.018257418583505526,0.6799999999999999,0.01825741858350557,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.31999999999999995,0.018257418583505526,5
reintegration_readiness,logistic_regression,3.0,1.5811388300841898,151.2,0.44721359549995915,5.4,0.547722557505166,0.03570930637852911,0.0035569112208243673,0.951045660508888,0.017304856527582617,0.8973594709494568,0.0785585994811782,0.4355844155844156,0.12131427359092269,0.8400000000000001,0.16733200530681513,0.5575438596491228,0.09676516139835331,0.9865107857030389,0.00740599694586717,0.7689350649350649,0.1225328201042083,5
reintegration_readiness,random_forest_classifier,3.0,1.5811388300841898,151.2,0.44721359549995915,5.4,0.547722557505166,0.03570930637852911,0.0035569112208243673,0.9642906936214709,0.0035569112208243855,0.5159817351598173,0.03767988000935847,0.2,0.4472135954999579,0.03333333333333333,0.07453559924999298,0.05714285714285714,0.12777531299998798,0.9859620532199653,0.0034413537230975266,0.6878124653124653,0.10723741928335849,5
reintegration_readiness,dummy_classifier,3.0,1.5811388300841898,151.2,0.44721359549995915,5.4,0.547722557505166,0.03570930637852911,0.0035569112208243673,0.9642906936214709,0.003556911220824409,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.03570930637852911,0.0035569112208243673,5
resident_risk,logistic_regression,3.0,1.5811388300841898,151.2,0.44721359549995915,11.4,0.5477225575051662,0.07539212269083304,0.003489018823629757,0.6785726734053676,0.03328189204675459,0.567993864648541,0.09135447719969686,0.10492454007595912,0.040011259140936783,0.43787878787878787,0.18528884457210318,0.1689694071866203,0.06513430246188855,0.6000978697561432,0.1053740611521486,0.13561024319748635,0.051735676507113054,5
resident_risk,random_forest_classifier,3.0,1.5811388300841898,151.2,0.44721359549995915,11.4,0.5477225575051662,0.07539212269083304,0.003489018823629757,0.9246078773091669,0.0034890188236297278,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628414346444922,0.0680930532367281,0.12593758332745053,0.028869524827228016,5
resident_risk,dummy_classifier,3.0,1.5811388300841898,151.2,0.44721359549995915,11.4,0.5477225575051662,0.07539212269083304,0.003489018823629757,0.9246078773091669,0.0034890188236297278,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.07539212269083304,0.003489018823629757,5
social_media_conversion,random_forest_classifier,3.0,1.5811388300841898,129.8,0.4472135954999611,83.6,0.5477225575051652,0.6440667859272511,0.003350988984669601,0.9414311270125223,0.016940219828553232,0.9312759429418479,0.01938724286405873,0.9440716302198956,0.01630758674868715,0.9664371772805508,0.01578684586305781,0.9550485834734183,0.01305045152038405,0.9774166376089797,0.014349005477170142,0.9850236103278552,0.011965216373836815,5
social_media_conversion,logistic_regression,3.0,1.5811388300841898,129.8,0.4472135954999611,83.6,0.5477225575051652,0.6440667859272511,0.003350988984669601,0.8119260584376864,0.040158666533254166,0.8277949381774488,0.038407667202129354,0.9237522812184252,0.032731469091987736,0.7725186460126219,0.057975441026352034,0.8402491480922853,0.03888834231390224,0.8899411707886123,0.027579716799033736,0.9446887305284914,0.015056105299077057,5
social_media_conversion,dummy_classifier,3.0,1.5811388300841898,129.8,0.4472135954999611,83.6,0.5477225575051652,0.6440667859272511,0.003350988984669601,0.6440667859272511,0.003350988984669601,0.5,0.0,0.6440667859272511,0.003350988984669601,1.0,0.0,0.7835003555690222,0.0024845296836483776,0.5,0.0,0.6440667859272511,0.003350988984669601,5
