model_name,sample_count,positive_count,positive_rate,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision
logistic_regression,777.0,36.0,0.04633204633204633,0.8571428571428571,0.5683198380566802,0.0967741935483871,0.25,0.13953488372093023,0.7676938071674914,0.12593601684817418
random_forest_classifier,777.0,36.0,0.04633204633204633,0.9536679536679536,0.5,0.0,0.0,0.0,0.6231256560203929,0.07612215459560766
dummy_classifier,777.0,36.0,0.04633204633204633,0.9536679536679536,0.5,0.0,0.0,0.0,0.5,0.04633204633204633
